Seed,Active Slot Coefficient,End Slot,Total Stake,Node Stake,Blocks Produced
21100,0.05,7200,1000,11,6
21083,0.05,7200,1000,36,11
21078,0.05,7200,1000,513,175
21055,0.05,7200,1000,919,346
21012,0.05,7200,1000,474,182
21002,0.05,7200,1000,425,167
20955,0.05,7200,1000,186,71
20908,0.05,7200,1000,431,157
20884,0.05,7200,1000,243,70
20828,0.05,7200,1000,786,279
20825,0.05,7200,1000,295,103
20779,0.05,7200,1000,847,292
20763,0.05,7200,1000,821,290
20728,0.05,7200,1000,339,118
2072,0.05,7200,1000,228,94
20719,0.05,7200,1000,367,121
20701,0.05,7200,1000,328,126
20641,0.05,7200,1000,277,105
206,0.05,7200,1000,316,106
20535,0.05,7200,1000,344,140
20530,0.05,7200,1000,888,325
20521,0.05,7200,1000,137,47
20487,0.05,7200,1000,833,289
20426,0.05,7200,1000,39,7
20361,0.05,7200,1000,748,258
20332,0.05,7200,1000,658,234
20330,0.05,7200,1000,721,276
20318,0.05,7200,1000,197,70
20316,0.05,7200,1000,82,28
2031,0.05,7200,1000,992,374
20219,0.05,7200,1000,790,290
20215,0.05,7200,1000,344,119
20189,0.05,7200,1000,962,359
20182,0.05,7200,1000,677,238
2016,0.05,7200,1000,846,302
20024,0.05,7200,1000,310,113
2002,0.05,7200,1000,391,134
19988,0.05,7200,1000,139,57
19902,0.05,7200,1000,499,196
19815,0.05,7200,1000,926,330
19783,0.05,7200,1000,656,232
19677,0.05,7200,1000,798,288
19664,0.05,7200,1000,206,68
19639,0.05,7200,1000,501,211
196,0.05,7200,1000,443,175
19578,0.05,7200,1000,643,210
19511,0.05,7200,1000,741,272
19501,0.05,7200,1000,24,9
19433,0.05,7200,1000,27,17
1943,0.05,7200,1000,487,160
19266,0.05,7200,1000,29,7
19246,0.05,7200,1000,760,287
192,0.05,7200,1000,699,270
19187,0.05,7200,1000,833,296
19166,0.05,7200,1000,543,185
19149,0.05,7200,1000,651,249
19116,0.05,7200,1000,510,167
19073,0.05,7200,1000,818,299
19071,0.05,7200,1000,150,74
19047,0.05,7200,1000,246,73
19019,0.05,7200,1000,859,305
18991,0.05,7200,1000,722,270
1898,0.05,7200,1000,877,281
18976,0.05,7200,1000,994,357
18961,0.05,7200,1000,956,330
18940,0.05,7200,1000,641,231
18928,0.05,7200,1000,151,53
18719,0.05,7200,1000,652,249
18716,0.05,7200,1000,498,172
18706,0.05,7200,1000,452,174
18678,0.05,7200,1000,631,235
18643,0.05,7200,1000,477,161
18636,0.05,7200,1000,490,165
18620,0.05,7200,1000,203,74
18611,0.05,7200,1000,769,274
18549,0.05,7200,1000,848,272
18518,0.05,7200,1000,208,76
18452,0.05,7200,1000,82,30
18382,0.05,7200,1000,934,299
18346,0.05,7200,1000,136,41
18343,0.05,7200,1000,76,31
18290,0.05,7200,1000,800,279
18237,0.05,7200,1000,692,269
18214,0.05,7200,1000,712,281
18200,0.05,7200,1000,940,338
18198,0.05,7200,1000,742,253
18167,0.05,7200,1000,698,242
18163,0.05,7200,1000,994,365
18159,0.05,7200,1000,685,246
18119,0.05,7200,1000,832,312
18114,0.05,7200,1000,318,113
18110,0.05,7200,1000,326,131
18068,0.05,7200,1000,304,115
18043,0.05,7200,1000,239,92
17981,0.05,7200,1000,598,208
17975,0.05,7200,1000,457,158
17971,0.05,7200,1000,91,30
17921,0.05,7200,1000,290,109
17906,0.05,7200,1000,188,82
17878,0.05,7200,1000,858,286
17846,0.05,7200,1000,293,120
17835,0.05,7200,1000,16,2
17827,0.05,7200,1000,694,258
17822,0.05,7200,1000,122,34
17639,0.05,7200,1000,621,218
17625,0.05,7200,1000,808,300
17616,0.05,7200,1000,459,169
17591,0.05,7200,1000,118,38
17562,0.05,7200,1000,2,2
1755,0.05,7200,1000,140,49
17540,0.05,7200,1000,504,197
17499,0.05,7200,1000,884,320
17483,0.05,7200,1000,479,158
17463,0.05,7200,1000,339,112
17429,0.05,7200,1000,558,230
17421,0.05,7200,1000,538,202
17418,0.05,7200,1000,114,42
17391,0.05,7200,1000,124,51
17361,0.05,7200,1000,476,189
17358,0.05,7200,1000,427,145
17345,0.05,7200,1000,792,285
