Seed,Active Slot Coefficient,End Slot,Total Stake,Node Stake,Blocks Produced
32737,0.05,7200,1000,81,29
32674,0.05,7200,1000,834,311
32672,0.05,7200,1000,350,123
32659,0.05,7200,1000,469,169
3261,0.05,7200,1000,932,304
32608,0.05,7200,1000,132,59
32558,0.05,7200,1000,801,277
32527,0.05,7200,1000,266,91
32506,0.05,7200,1000,163,59
32488,0.05,7200,1000,663,235
32462,0.05,7200,1000,234,89
3244,0.05,7200,1000,216,76
32427,0.05,7200,1000,284,103
32384,0.05,7200,1000,53,17
32378,0.05,7200,1000,698,248
32376,0.05,7200,1000,647,228
32355,0.05,7200,1000,967,358
32320,0.05,7200,1000,191,74
32311,0.05,7200,1000,299,95
32309,0.05,7200,1000,110,37
32294,0.05,7200,1000,857,312
32276,0.05,7200,1000,21,10
32226,0.05,7200,1000,559,188
32204,0.05,7200,1000,328,108
32198,0.05,7200,1000,566,238
3218,0.05,7200,1000,487,189
3216,0.05,7200,1000,88,27
32135,0.05,7200,1000,191,53
32076,0.05,7200,1000,742,313
32067,0.05,7200,1000,678,230
32004,0.05,7200,1000,457,176
31958,0.05,7200,1000,936,332
31924,0.05,7200,1000,27,6
31921,0.05,7200,1000,451,152
31906,0.05,7200,1000,649,223
31872,0.05,7200,1000,352,126
31842,0.05,7200,1000,34,10
31821,0.05,7200,1000,722,251
31814,0.05,7200,1000,127,56
31755,0.05,7200,1000,650,251
31730,0.05,7200,1000,170,55
31704,0.05,7200,1000,798,291
31696,0.05,7200,1000,193,72
31677,0.05,7200,1000,658,222
31673,0.05,7200,1000,548,215
31651,0.05,7200,1000,868,307
31635,0.05,7200,1000,28,8
31631,0.05,7200,1000,313,132
31607,0.05,7200,1000,572,217
31520,0.05,7200,1000,227,89
31479,0.05,7200,1000,359,100
31464,0.05,7200,1000,875,291
31463,0.05,7200,1000,4,2
31441,0.05,7200,1000,655,208
31436,0.05,7200,1000,928,329
31426,0.05,7200,1000,65,18
31267,0.05,7200,1000,992,304
31266,0.05,7200,1000,834,305
31247,0.05,7200,1000,926,331
31172,0.05,7200,1000,898,359
31142,0.05,7200,1000,828,308
31091,0.05,7200,1000,28,9
31051,0.05,7200,1000,672,260
31046,0.05,7200,1000,503,165
3104,0.05,7200,1000,650,253
30962,0.05,7200,1000,10,4
30933,0.05,7200,1000,861,312
30896,0.05,7200,1000,133,39
30877,0.05,7200,1000,580,205
30872,0.05,7200,1000,772,256
30853,0.05,7200,1000,494,199
30848,0.05,7200,1000,296,117
30846,0.05,7200,1000,138,41
30840,0.05,7200,1000,331,111
30839,0.05,7200,1000,15,6
30750,0.05,7200,1000,413,132
30701,0.05,7200,1000,318,119
30700,0.05,7200,1000,156,58
30698,0.05,7200,1000,840,291
30682,0.05,7200,1000,985,329
30681,0.05,7200,1000,699,269
30663,0.05,7200,1000,306,122
30649,0.05,7200,1000,373,129
30633,0.05,7200,1000,904,309
30597,0.05,7200,1000,641,232
30565,0.05,7200,1000,509,186
30524,0.05,7200,1000,656,223
30486,0.05,7200,1000,794,317
30475,0.05,7200,1000,643,239
30444,0.05,7200,1000,789,295
30425,0.05,7200,1000,231,85
30416,0.05,7200,1000,335,121
30384,0.05,7200,1000,286,102
3035,0.05,7200,1000,467,179
30346,0.05,7200,1000,416,149
30319,0.05,7200,1000,222,91
30318,0.05,7200,1000,324,118
30195,0.05,7200,1000,256,92
30162,0.05,7200,1000,345,110
30152,0.05,7200,1000,885,351
30119,0.05,7200,1000,313,105
30115,0.05,7200,1000,314,109
30105,0.05,7200,1000,847,324
30096,0.05,7200,1000,771,277
30095,0.05,7200,1000,260,103
30075,0.05,7200,1000,852,361
30061,0.05,7200,1000,452,162
30050,0.05,7200,1000,289,132
29971,0.05,7200,1000,784,285
29956,0.05,7200,1000,985,358
29917,0.05,7200,1000,207,71
29866,0.05,7200,1000,442,160
29861,0.05,7200,1000,542,183
2978,0.05,7200,1000,751,282
2977,0.05,7200,1000,778,264
2970,0.05,7200,1000,916,325
29681,0.05,7200,1000,410,129
29662,0.05,7200,1000,286,99
29644,0.05,7200,1000,283,102
29625,0.05,7200,1000,719,266
2960,0.05,7200,1000,241,86
29574,0.05,7200,1000,814,295
29550,0.05,7200,1000,887,310
2951,0.05,7200,1000,614,231
29502,0.05,7200,1000,3,0
29482,0.05,7200,1000,643,239
2947,0.05,7200,1000,494,176
29453,0.05,7200,1000,846,307
2944,0.05,7200,1000,994,344
2943,0.05,7200,1000,774,287
29423,0.05,7200,1000,364,117
29397,0.05,7200,1000,923,310
29324,0.05,7200,1000,978,334
29187,0.05,7200,1000,117,40
29169,0.05,7200,1000,255,110
2916,0.05,7200,1000,53,16
2904,0.05,7200,1000,217,74
29023,0.05,7200,1000,759,281
29002,0.05,7200,1000,388,154
28997,0.05,7200,1000,643,234
28912,0.05,7200,1000,129,42
28895,0.05,7200,1000,411,144
28874,0.05,7200,1000,485,181
28825,0.05,7200,1000,682,245
28791,0.05,7200,1000,366,133
28764,0.05,7200,1000,75,31
28719,0.05,7200,1000,354,127
28647,0.05,7200,1000,219,89
28638,0.05,7200,1000,507,196
28561,0.05,7200,1000,578,204
28543,0.05,7200,1000,994,360
28531,0.05,7200,1000,545,205
28509,0.05,7200,1000,19,8
28470,0.05,7200,1000,654,213
28455,0.05,7200,1000,128,46
28407,0.05,7200,1000,93,33
28390,0.05,7200,1000,314,117
28334,0.05,7200,1000,312,115
28327,0.05,7200,1000,294,112
28318,0.05,7200,1000,408,169
28300,0.05,7200,1000,322,120
28288,0.05,7200,1000,644,246
28225,0.05,7200,1000,522,199
28183,0.05,7200,1000,800,290
28175,0.05,7200,1000,574,218
28174,0.05,7200,1000,519,186
28079,0.05,7200,1000,342,132
28038,0.05,7200,1000,163,70
27994,0.05,7200,1000,469,170
27988,0.05,7200,1000,556,189
27970,0.05,7200,1000,582,218
27958,0.05,7200,1000,342,113
27953,0.05,7200,1000,784,297
27952,0.05,7200,1000,290,100
27906,0.05,7200,1000,595,205
27899,0.05,7200,1000,722,277
2789,0.05,7200,1000,818,289
27885,0.05,7200,1000,931,368
27865,0.05,7200,1000,749,253
27825,0.05,7200,1000,429,160
27789,0.05,7200,1000,715,240
27685,0.05,7200,1000,194,70
27595,0.05,7200,1000,987,350
27526,0.05,7200,1000,275,85
27515,0.05,7200,1000,577,206
27475,0.05,7200,1000,121,26
27473,0.05,7200,1000,638,219
27415,0.05,7200,1000,181,74
27382,0.05,7200,1000,450,168
27374,0.05,7200,1000,495,176
27371,0.05,7200,1000,669,244
27368,0.05,7200,1000,220,94
27342,0.05,7200,1000,479,164
27339,0.05,7200,1000,1,1
27311,0.05,7200,1000,549,174
27273,0.05,7200,1000,505,204
27254,0.05,7200,1000,719,239
27240,0.05,7200,1000,942,373
27225,0.05,7200,1000,968,335
27215,0.05,7200,1000,140,47
27188,0.05,7200,1000,301,99
2717,0.05,7200,1000,681,241
27159,0.05,7200,1000,501,177
2715,0.05,7200,1000,110,46
27144,0.05,7200,1000,160,67
27094,0.05,7200,1000,819,305
2707,0.05,7200,1000,502,183
27070,0.05,7200,1000,804,255
27067,0.05,7200,1000,967,337
27029,0.05,7200,1000,196,74
27027,0.05,7200,1000,983,358
